Use Case,Prompt,Category,Tool Compatibility,Prompt Type,Description/Notes,Tab
Debugging with explanation,I'm getting this error: [paste error message]. Explain what's causing it and provide a fix. Then explain why the fix works.,Debugging,All tools,No Training Wheels,Error-Forward prompting that feeds error messages to AI for targeted fixes. Always include the full error stack trace for best results.,🧪 Testing & Debugging
Error handling implementation,"Set up comprehensive error handling:
- Try-catch blocks for async operations
- Error boundaries for React components
- Global error handler
- User-friendly error messages
- Error logging to [service]
- Retry logic for failed requests

Don't expose sensitive information in errors.",Debugging,All tools,Training Wheels,"Comprehensive error handling strategy. Implement at different levels: component, API, global.",🛠️ Feature Development
Getting an overview before implementation,"Before making any changes, provide me with a detailed plan outlining:
1. What files will be modified
2. What specific changes will be made to each file
3. Any potential side effects or dependencies
4. Wait for my confirmation before proceeding",Development,"Cursor, Windsurf, Lovable, Bolt.new, Replit",No Training Wheels,Overview First technique that requires AI to explain changes before implementing. Prevents unexpected modifications and helps you understand the approach.,🛠️ Feature Development
E-commerce product display,"Create a product card component with:
- Product image with lazy loading
- Product name, price, rating
- Add to cart button with loading state
- Wishlist heart icon toggle
- Hover effects and transitions
- Responsive grid layout

Use React, Tailwind CSS, and include PropTypes.",E-commerce,All tools,Training Wheels,E-commerce component with common features. Specify all interactive elements and states needed for complete functionality.,🚀 Interactive & Immersive Elements
Shopping cart functionality,"Build a shopping cart that:
1. Stores items in localStorage
2. Calculates subtotal, tax, shipping
3. Allows quantity updates
4. Removes items
5. Shows empty state with CTA
6. Persists across sessions

Include unit tests for calculations.",E-commerce,"Cursor, Replit, Windsurf",Training Wheels,Complete shopping cart with state management. Break into smaller prompts if too complex for single implementation.,💎 UI/UX Excellence
Payment processing,"Add payment integration:
- [Stripe/PayPal] checkout
- Payment method storage
- Subscription management
- Invoices generation
- Refund processing
- Webhook handling

PCI compliant. Handle edge cases like failed payments.",E-commerce,"Cursor, Replit, Windsurf",Training Wheels,Payment integration with subscription support. Never store card details directly. Use payment provider's SDK.,💰 E-commerce & Product Pages
Creating an e-commerce homepage optimized for product discovery and sales,"Design a high-converting e-commerce homepage that maximizes product visibility and drives purchases. Homepage elements: (1) Hero banner: Seasonal promotion or new collection highlight, Large product images with lifestyle photography, 'Shop Now' CTA with urgency (limited time, while supplies last), (2) Category navigation: Visual category cards with images, Hover effects showing subcategories, Quick access to popular categories, (3) Featured products: Grid layout of best-sellers, Quick view modal on hover, Add to cart button, Product rating stars, Sale badges for discounted items, (4) Social proof: Customer photos in an Instagram-style grid, Reviews count and average rating, 'Shop the Look' functionality, (5) Trust signals: Free shipping threshold banner, Return policy highlight, Secure checkout badges, Payment method icons, (6) Email capture: Exit-intent popup with discount offer. Ensure fast loading with optimized product images. Include size guide links. Reference: Zillow's dynamic listing approach for inspiration.",E-commerce & Conversion,"Lovable, Replit, ChatGPT, Cursor, v0",Strategy,Implements e-commerce best practices that drive online sales. Optimized product presentation and trust signals can increase conversion rates by 25-50%. Based on successful e-commerce patterns and conversion optimization research.,✨ Award-Winning Homepage Designs
Developing an automated email nurture sequence for leads,"Create a 7-email nurture sequence for [product/service] targeting [audience segment]. Each email should:

Email 1 (Day 0): Welcome & deliver lead magnet + set expectations
Email 2 (Day 2): Educational content addressing [pain point 1]
Email 3 (Day 4): Case study/success story with social proof
Email 4 (Day 6): Educational content addressing [pain point 2]
Email 5 (Day 9): Product/service introduction with unique value proposition
Email 6 (Day 12): Objection handling + FAQ
Email 7 (Day 15): Strong CTA with urgency/bonus

For each email provide: Subject line (with A/B variant), preview text, body copy, CTA, and P.S. Include personalization tokens and segmentation triggers for optimization.",Email Marketing,"ChatGPT, Claude, Mailchimp AI, ActiveCampaign",Content,Creates a complete automated nurture sequence with timing strategy. Balances education and promotion for optimal engagement. Best for warming cold leads and moving them through the funnel systematically.,📄 Landing Pages & Lead Generation
Optimizing for voice search and conversational commerce,"Adapt my sales funnel for voice search and conversational commerce:

1. Voice search optimization:
   - Natural language keyword targeting
   - FAQ content optimization
   - Featured snippet strategies
   - Local SEO for voice queries

2. Conversational commerce:
   - Voice-activated ordering
   - Smart speaker integration
   - Conversational AI for recommendations
   - Voice authentication for returning customers

3. Content adaptation:
   - Conversational tone and structure
   - Question-based content organization
   - Simplified navigation for voice
   - Audio content strategy

4. Technical implementation:
   - Schema markup for voice results
   - Voice app development (Alexa Skills, Google Actions)
   - API integrations
   - Testing and optimization

Provide optimization checklist, content templates, and implementation guide. Include future-proofing strategies as voice commerce grows.",Emerging Technologies,"ChatGPT, Replit, Dialogflow, Alexa Skills",Strategy,Prepares funnel for voice-first interactions and smart speaker commerce. Positions business for emerging channel that's growing 35% annually. Essential for staying competitive as voice commerce expands.,💎 UI/UX Excellence
Implementing gamification in funnel for increased engagement,"Add gamification elements to [sales funnel] to boost engagement:

1. Gamification mechanics:
   - Points system for desired actions
   - Badges and achievements
   - Progress bars and levels
   - Leaderboards and competition
   - Rewards and unlockables

2. Application across funnel:
   - Awareness: Share and engagement points
   - Interest: Content consumption rewards
   - Consideration: Quiz and assessment games
   - Decision: Purchase incentive games (spin to win)
   - Loyalty: Repeat purchase rewards

3. Psychology:
   - Intrinsic vs extrinsic motivation
   - Variable reward schedules
   - Loss aversion mechanics
   - Social proof and competition

4. Technical implementation:
   - Platform and tool selection
   - Points tracking system
   - Reward fulfillment automation
   - Mobile app integration

Provide gamification strategy document, mechanics design, and implementation guide. Include ethical considerations and addiction prevention.",Engagement & Retention,"Lovable, Replit, ChatGPT, Gleam",Design,Uses game mechanics to increase engagement and motivation. Can boost conversion rates by 30% and improve retention significantly. Particularly effective for younger audiences and SaaS products.,💎 UI/UX Excellence
Building complex features step by step,"Build a [feature name] that:
1. Does [specific action]
2. Includes [required elements]
3. Uses [technology/framework]

Break this down into 5-7 smaller steps, and let me know what you'll do first.",Feature Development,All tools,No Training Wheels,Feature Builder prompt that breaks complex features into manageable steps. Use when building multi-component features to maintain clarity and control.,💎 UI/UX Excellence
User onboarding experience,"Implement user onboarding flow:
1. Welcome screen with benefits
2. Multi-step form (personal info, preferences, verification)
3. Progress indicator
4. Skip option with reminder
5. Completion celebration screen

Store progress in database. Add analytics tracking.",Feature Development,All tools,Training Wheels,"Multi-step onboarding process. Break into smaller prompts if needed: screen design, form logic, progress tracking, data persistence.",🛠️ Feature Development
Real-time chat functionality,"Create a real-time chat feature using [WebSocket/Socket.io/Pusher]:
- Message sending and receiving
- Online status indicators
- Typing indicators
- Message timestamps
- Read receipts
- Message history pagination

Handle reconnection and offline queuing.",Feature Development,"Cursor, Replit, Windsurf",Training Wheels,Real-time communication feature. Complex feature that benefits from step-by-step implementation. Start with basic messaging.,💎 UI/UX Excellence
Infinite scroll implementation,"Implement infinite scroll for [content type]:
- Load initial batch of items
- Detect scroll to bottom
- Fetch next batch with loading indicator
- Handle end of content
- Show skeleton loaders
- Optimize with virtualization if list is very long

Use Intersection Observer or library like react-window.",Feature Development,All tools,Training Wheels,Infinite scroll with performance optimization. Consider virtualization for large lists to maintain performance.,🚀 Interactive & Immersive Elements
File upload functionality,"Build a file upload component:
- Drag and drop support
- File type validation
- Size limit checking
- Upload progress indicator
- Preview for images
- Multiple file support
- Cancel upload functionality

Upload to [S3/Cloudinary/Supabase Storage].",Feature Development,All tools,Training Wheels,Complete file upload solution. Specify storage service and validation requirements. Add security measures.,💎 UI/UX Excellence
Search functionality,"Create a search feature with:
- Debounced search input
- Search suggestions/autocomplete
- Filters and sorting options
- Results highlighting
- Empty state for no results
- Search history (optional)

Implement client-side or call [API endpoint].",Feature Development,All tools,Training Wheels,Search feature with autocomplete. Specify whether client-side or API-based. Include debouncing for performance.,🛠️ Feature Development
Multi-language support,"Add internationalization (i18n) support:
- Multiple language support for [languages]
- Language switcher in UI
- Translation files for all text
- RTL support if needed
- Date/number formatting per locale
- Use react-i18next or next-i18next",Feature Development,"Cursor, Lovable, Windsurf",Training Wheels,"Internationalization implementation. Start with framework, then add translations, then formatting.",💎 UI/UX Excellence
Notification system,"Create a notification system:
- Toast notifications (success, error, warning, info)
- In-app notification center
- Unread count badge
- Mark as read functionality
- Delete notifications
- Real-time updates if applicable

Store in database or state management.",Feature Development,All tools,Training Wheels,"Complete notification system. Start with UI components, then add state management, then persistence.",🛠️ Feature Development
Calendar and scheduling,"Implement calendar/scheduling feature:
- Month/week/day views
- Event creation and editing
- Recurring events
- Event categories/colors
- Reminders
- Export to iCal format

Use FullCalendar or build custom with date-fns.",Feature Development,"Cursor, Replit",Training Wheels,Calendar functionality. Complex feature best implemented with a library. Focus on integration and customization.,🎨 Visual Design & Modern Aesthetics
Social media sharing,"Add social sharing features:
- Share buttons for [platforms]
- Custom share text and images
- Copy link to clipboard
- Open Graph meta tags
- Twitter Cards
- WhatsApp sharing

Track share events with analytics.",Feature Development,All tools,No Training Wheels,Social sharing implementation. Include meta tags for proper preview rendering on social platforms.,🛠️ Feature Development
Blog functionality,"Build a blog system:
- Post listing with pagination
- Individual post pages
- Categories and tags
- Author profiles
- Related posts section
- Comments section
- RSS feed

Use markdown for content. SEO optimized.",Feature Development,"Cursor, Lovable, Windsurf",Training Wheels,"Blog system with CMS features. Build incrementally: post display, categories, comments, SEO.",💎 UI/UX Excellence
User profile features,"Implement user profile management:
- View profile page
- Edit profile form
- Avatar upload with cropping
- Password change
- Email preferences
- Account deletion
- Activity history

Validate all inputs. Add confirmation dialogs for destructive actions.",Feature Development,All tools,Training Wheels,User profile CRUD operations. Include security measures for password changes and account deletion.,🎯 Conversion & Funnel Optimization
Analytics implementation,"Add analytics tracking:
- Page view tracking
- Event tracking for key actions
- User journey tracking
- Conversion funnel
- Error tracking
- Performance monitoring

Integrate [Google Analytics/Mixpanel/Plausible]. GDPR compliant.",Feature Development,All tools,Training Wheels,Analytics integration with privacy compliance. Include consent management if in EU.,🎯 Conversion & Funnel Optimization
Email template system,"Create an email template system:
- Transactional emails (welcome, reset password, notifications)
- Responsive HTML email templates
- Variable substitution
- Preview functionality
- Send via [SendGrid/Mailgun/Resend]

Test across email clients.",Feature Development,"Cursor, Replit, Windsurf",Training Wheels,Email system with templates. Use MJML or similar for cross-client compatibility.,💎 UI/UX Excellence
Review and rating system,"Build a feedback/rating system:
- Star rating component
- Written review submission
- Rating distribution display
- Helpful votes on reviews
- Report inappropriate reviews
- Filter and sort reviews

Store in database with moderation flags.",Feature Development,All tools,Training Wheels,Review system with moderation. Include spam prevention and content moderation features.,💎 UI/UX Excellence
PWA implementation,"Implement Progressive Web App (PWA) features:
- Service worker for offline support
- App manifest
- Install prompt
- Push notifications
- Background sync
- Offline fallback page

Test with Lighthouse PWA audit.",Feature Development,"Cursor, Windsurf",Training Wheels,"PWA functionality. Start with manifest and service worker, then add advanced features.",🛠️ Feature Development
A/B testing framework,"Implement A/B testing:
- Variant assignment logic
- Feature flags
- Track conversion metrics
- Statistical significance calculation
- Admin UI to view results
- Gradual rollout support

Integrate with analytics platform.",Feature Development,"Cursor, Windsurf, Replit",Training Wheels,A/B testing infrastructure. Consider using a service like LaunchDarkly for complex needs.,💎 UI/UX Excellence
Video playback,"Add video player:
- Embed [YouTube/Vimeo] or custom player
- Play/pause, seek, volume controls
- Fullscreen mode
- Playback speed options
- Captions/subtitles support
- Thumbnail preview on hover

Optimize for performance and accessibility.",Feature Development,All tools,Training Wheels,Video player with controls. Use native HTML5 video or a library like Video.js for advanced features.,🚀 Interactive & Immersive Elements
Referral/affiliate system,"Create a referral program:
- Unique referral codes/links
- Track referrals
- Reward system (credits, discounts)
- Referral dashboard for users
- Share on social media
- Email invitations

Store referral data in database.",Feature Development,"Cursor, Replit, Windsurf",Training Wheels,Referral tracking system. Include fraud prevention measures and clear reward terms.,📊 Dashboard & Admin Panels
Quiz or survey,"Build a quiz/survey tool:
- Multiple question types (multiple choice, text, rating)
- Progress indicator
- Skip/back functionality
- Results page with scoring
- Save partial responses
- Export results to CSV

Mobile-friendly design.",Feature Development,All tools,Training Wheels,Interactive quiz system. Focus on UX flow and data collection. Add branching logic if needed.,💎 UI/UX Excellence
Real-time data updates,"Implement WebSocket real-time updates:
- Establish connection with fallback
- Handle connection status
- Reconnect on disconnect
- Update UI on incoming messages
- Send heartbeat pings
- Queue messages when offline

Use [Socket.io/native WebSocket].",Feature Development,"Cursor, Replit, Windsurf",Training Wheels,WebSocket implementation with reliability. Handle edge cases like network disruptions.,💎 UI/UX Excellence
Bookmarking functionality,"Build a bookmark/favorites system:
- Add/remove items to favorites
- Organize into collections
- Search saved items
- Share collections
- Sync across devices
- Export as list

Store in database with user association.",Feature Development,All tools,Training Wheels,Bookmark management system. Include tagging and organization features for better UX.,💎 UI/UX Excellence
Activity stream,"Create an activity feed:
- Stream of recent activities
- Different activity types (post, comment, like)
- User avatars and timestamps
- Load more functionality
- Real-time updates
- Filter by activity type

Optimize for performance with pagination.",Feature Development,All tools,Training Wheels,Activity feed like social platforms. Consider using virtual scrolling for large feeds.,🎯 Conversion & Funnel Optimization
Tagging and categorization,"Build a tag/category system:
- Create tags with colors
- Assign multiple tags to items
- Filter items by tag
- Tag autocomplete in input
- Tag cloud visualization
- Manage tags (edit, delete, merge)

Store tag relationships in database.",Feature Development,All tools,Training Wheels,Tag management system. Include tag suggestions and hierarchical categories if needed.,🎨 Visual Design & Modern Aesthetics
Data export,"Add export functionality:
- Export data as [CSV/JSON/PDF]
- Select columns to export
- Apply current filters to export
- Generate filename with timestamp
- Progress indicator for large exports
- Email export if too large

Handle special characters in CSV.",Feature Development,"Cursor, Replit, Windsurf",Training Wheels,Data export functionality. Consider backend generation for large datasets.,🛠️ Feature Development
Undo/redo operations,"Implement undo/redo functionality:
- Track state changes
- Undo/redo buttons
- Keyboard shortcuts (Ctrl+Z, Ctrl+Y)
- Limit history size
- Show action description
- Works across different features

Use command pattern for implementation.",Feature Development,"Cursor, Windsurf",Training Wheels,Undo/redo system for editors. Implement using command pattern or time-travel debugging.,🎯 Conversion & Funnel Optimization
QR code generation,"Add QR code generation:
- Generate QR codes for URLs/text
- Customizable size and colors
- Download as image
- Embed in page
- Error correction level options
- Logo in center (optional)

Use qrcode library.",Feature Development,All tools,No Training Wheels,QR code generator. Use a library like qrcode or qrcode.react for easy implementation.,🎨 Visual Design & Modern Aesthetics
Version control,"Build version history:
- Track changes to items
- Show diff between versions
- Restore previous version
- Timestamp and user who made changes
- Compare any two versions
- Search version history

Store versions in database.",Feature Development,"Cursor, Replit, Windsurf",Training Wheels,Version history like Google Docs. Store snapshots or diffs depending on data size.,💎 UI/UX Excellence
Map visualization,"Add map integration:
- Embed interactive map ([Google Maps/Mapbox/Leaflet])
- Show markers for locations
- Custom marker icons
- Info windows on click
- Geolocation to show user position
- Directions between points

Handle API key securely.",Feature Development,All tools,Training Wheels,Interactive map integration. Choose provider based on features needed and pricing.,🎨 Visual Design & Modern Aesthetics
Real-time collaboration,"Implement collaborative editing:
- Real-time concurrent editing
- Show other users' cursors
- Conflict resolution
- Presence indicators
- Change notifications
- Version history

Use operational transforms or CRDTs.",Feature Development,"Cursor, Windsurf, Replit",Training Wheels,Collaborative editing like Google Docs. Complex feature requiring OT or CRDT for conflict resolution.,🛠️ Feature Development
Audio recording,"Add voice/audio features:
- Record audio messages
- Playback with controls
- Waveform visualization
- Upload to storage
- Transcription (optional)
- Compress before upload

Handle browser permissions properly.",Feature Development,"Cursor, Replit",Training Wheels,Audio recording functionality. Use Web Audio API or a library for recording and processing.,🎨 Visual Design & Modern Aesthetics
Gamification,"Add gamification elements:
- Points/XP system
- Badges and achievements
- Leaderboards
- Progress levels
- Daily streaks
- Rewards redemption

Motivate user engagement.",Feature Development,All tools,Training Wheels,Gamification for user engagement. Design reward system that motivates desired behaviors.,📄 Landing Pages & Lead Generation
Polls and voting,"Create a poll/voting system:
- Create polls with options
- Vote with single or multiple choices
- Real-time vote counts
- Prevent duplicate voting
- Show results with percentages
- Close poll at set time

Anonymous or authenticated voting.",Feature Development,All tools,Training Wheels,Poll creation and voting. Include fraud prevention measures for accurate results.,🛠️ Feature Development
Autocomplete functionality,"Implement autocomplete search:
- Search as user types
- Highlight matching text
- Keyboard navigation (arrow keys)
- Recent searches
- Search suggestions from API
- Debounce input

Accessible with ARIA attributes.",Feature Development,All tools,Training Wheels,Search autocomplete like Google. Improve UX with suggestions and keyboard navigation.,💎 UI/UX Excellence
User settings management,"Build a settings page:
- Organized by sections
- Save changes button or auto-save
- Reset to defaults option
- Confirmation for sensitive changes
- Form validation
- Show unsaved changes warning

Store settings in database or localStorage.",Feature Development,All tools,Training Wheels,Settings page with sections. Group related settings and show clear save/cancel actions.,💎 UI/UX Excellence
Markdown editing,"Add markdown editor:
- Live preview as you type
- Toolbar with formatting buttons
- Syntax highlighting
- Image upload and embed
- Table support
- Code blocks with language selection

Use SimpleMDE or build with CodeMirror.",Feature Development,"Cursor, Windsurf",Training Wheels,"Markdown editor with preview. Great for content creation in blogs, docs, or forums.",💎 UI/UX Excellence
Content embedding,"Create an embed system:
- Generate embed code for content
- Responsive iframe
- Customizable dimensions
- Theme options (light/dark)
- Copy embed code button
- Preview of embed

Handle CORS and security.",Feature Development,"Cursor, Replit, Windsurf",Training Wheels,Embed code generation for sharing content. Allow customization and ensure secure embedding.,💎 UI/UX Excellence
Comment system,"Build a commenting system:
- Nested replies (threading)
- Like/upvote comments
- Edit and delete own comments
- Markdown support in comments
- Sort by newest/oldest/popular
- Mention other users (@username)

Moderation features for admins.",Feature Development,All tools,Training Wheels,Comment system with threading. Include moderation tools to handle spam and abuse.,💎 UI/UX Excellence
Background jobs,"Add background job processing:
- Queue long-running tasks
- Process asynchronously
- Retry failed jobs
- Job status tracking
- Priority queue
- Schedule recurring jobs

Use Bull, Agenda, or cloud functions.",Feature Development,"Cursor, Replit, Windsurf",Training Wheels,Background job queue for async processing. Essential for tasks like email sending or data processing.,🛠️ Feature Development
Feature flags,"Build a feature flag system:
- Toggle features on/off
- Gradual rollout percentage
- User/team targeting
- A/B test variants
- Admin UI to manage flags
- SDK for checking flags

Integrate with analytics.",Feature Development,"Cursor, Windsurf, Replit",Training Wheels,Feature flag system for controlled rollouts. Essential for testing features in production safely.,💎 UI/UX Excellence
Advanced search,"Implement content search with filters:
- Full-text search across [content]
- Filter by [categories/tags/date]
- Sort options
- Search result highlighting
- Pagination or infinite scroll
- Search analytics

Use Algolia, Elasticsearch, or database full-text.",Feature Development,"Cursor, Replit, Windsurf",Training Wheels,Advanced search with filters. Choose search solution based on scale and requirements.,🚀 Interactive & Immersive Elements
Data import,"Add CSV import functionality:
- Upload CSV file
- Preview data before import
- Column mapping
- Validation with error reporting
- Batch import with progress
- Rollback on errors

Handle large files with streaming.",Feature Development,"Cursor, Replit, Windsurf",Training Wheels,CSV import with validation. Essential for bulk data entry. Include clear error messages and preview.,🛠️ Feature Development
Form validation with accessibility,"Add client-side form validation for:
- Email: valid format check
- Password: minimum 8 characters, uppercase, lowercase, number
- Name: not empty, 2-50 characters
- Phone: valid format for [country]

Show real-time error messages as user types. Use accessible error announcements.",Form Validation,All tools,No Training Wheels,Comprehensive form validation prompt with accessibility considerations. Specify all validation rules and UX requirements upfront.,💎 UI/UX Excellence
Multi-step form wizard,"Build a wizard/stepper form:
- Multi-step form with [X] steps
- Step validation before proceeding
- Progress indicator
- Previous/Next navigation
- Summary review step
- Form data persistence
- Save draft functionality

Use Formik or React Hook Form.",Form Validation,All tools,Training Wheels,"Complex multi-step form. Break into: stepper UI, form validation, data persistence, navigation logic.",💎 UI/UX Excellence
Designing a multi-step form or wizard interface for complex processes,"Create a user-friendly multi-step form that breaks complex processes into manageable steps. Wizard structure: (1) Progress indicator: Step numbers with labels (e.g., '1. Contact Info, 2. Preferences, 3. Payment'), Visual progress bar showing completion percentage, Highlight current step, completed steps, and upcoming steps, Allow clicking previous steps to return, (2) Step design: One clear step per screen, 3-5 steps maximum (break longer forms differently), Question or heading at top, Relevant form fields, 'Next' and 'Back' buttons, Auto-save progress locally, (3) Form optimization: Group related fields logically, Use appropriate input types (dropdown, radio, checkbox), Inline validation with helpful errors, Show character counts for text areas, Optional/required field indicators, (4) User experience: Prevent loss of data with browser navigation, 'Save and continue later' option for long forms, Summary/review step before submission, Success confirmation page, (5) Mobile optimization: Larger input fields, One field per row, Number pads for numeric inputs. Maintain state in URL or localStorage. Show time estimate ('2 minutes to complete').",Forms & User Flow,"Lovable, Replit, ChatGPT, v0, Bolt",Strategy,Creates frictionless multi-step experiences that increase completion rates by 30%+ compared to long single-page forms. Breaking forms into steps reduces cognitive load and abandonment. Essential for onboarding and applications.,🎨 Visual Design & Modern Aesthetics
Creating a complete sales funnel blueprint for a new product launch,"Design a comprehensive 5-stage sales funnel for [product/service] targeting [audience]. Include:
1. Awareness stage: Content strategy and channels
2. Interest stage: Lead magnets and engagement tactics
3. Consideration stage: Nurturing sequences and value propositions
4. Decision stage: Conversion triggers and offers
5. Retention stage: Loyalty programs and upsell strategies

For each stage, provide specific tactics, recommended tools, key metrics to track, and estimated conversion rates. Make it scalable and focused on building trust.",Funnel Design,"ChatGPT, Claude, Lovable, Replit",Strategy,Generates a complete funnel architecture with stage-specific strategies. Best for planning new funnels or redesigning existing ones. Ensures comprehensive coverage of customer journey with actionable tactics for each stage.,💎 UI/UX Excellence
Creating value ladder funnel with multiple product tiers,"Design a value ladder funnel for [business type] with multiple offers at increasing price points:

1. Funnel structure:
   - Free lead magnet (entry point)
   - Tripwire offer: $7-27 (commitment device)
   - Core offer: $47-197 (main product)
   - Upsell 1: $197-497 (enhanced version)
   - Upsell 2: $497-997 (premium/done-for-you)
   - Continuity: $X/month (recurring revenue)

2. Offer positioning:
   - Unique value proposition for each tier
   - Logical progression and relationship between offers
   - Pricing psychology and anchoring strategies

3. Implementation:
   - Sales page templates for each offer
   - Order bump strategies
   - One-click upsell sequences
   - Downsell fallback offers

4. Automation:
   - Email sequences between tiers
   - Behavioral triggers for upgrade offers
   - Segmentation based on purchase history

Provide complete funnel map, offer descriptions, and projected average order value calculations.",Funnel Design,"ChatGPT, ClickFunnels, Lovable, Stripe",Strategy,Creates multi-tier funnel that maximizes customer lifetime value. Uses psychological pricing and logical progression. Can increase average order value by 2-5x compared to single-product funnels.,💎 UI/UX Excellence
Designing webinar funnel for high-ticket sales,"Create a complete webinar funnel for [high-ticket offer $1000+] including:

1. Pre-webinar sequence:
   - Registration page copy and design
   - Confirmation email with value building
   - Reminder sequence (3 days, 1 day, 1 hour, 15 min)
   - Pre-webinar content to increase show-up rate

2. Webinar structure:
   - Hook and introduction (5 min)
   - Origin story and credibility (10 min)
   - Content delivery (30-40 min teaching)
   - Transition to pitch (5 min)
   - Offer presentation (15-20 min)
   - Q&A and close (10 min)

3. Post-webinar sequence:
   - Replay availability strategy
   - Application/booking emails
   - Scarcity and urgency messaging
   - Follow-up call scheduling

4. Technical setup:
   - Platform recommendations (Zoom, Demio, etc.)
   - Slide deck templates
   - Chat engagement strategies
   - Conversion tracking setup

Provide complete scripts, email sequences, and conversion optimization tactics. Target: 5-15% conversion to high-ticket offer.",Funnel Design,"ChatGPT, Lovable, Zoom, Demio",Content,Creates comprehensive webinar funnel for selling premium offers. Includes all touchpoints from registration to sale. Effective for building trust and demonstrating value before asking for significant commitment.,💎 UI/UX Excellence
Creating micro-commitment funnel for complex products,"Design a micro-commitment funnel for [complex/high-consideration product] that builds trust gradually:

1. Commitment ladder:
   - Level 1: Content consumption (blog read, video watch)
   - Level 2: Lead magnet download (email capture)
   - Level 3: Tool/calculator usage (engagement)
   - Level 4: Quiz/assessment completion (qualification)
   - Level 5: Free trial/demo signup
   - Level 6: Purchase decision

2. Psychology:
   - Consistency principle application
   - Progressive profiling strategy
   - Value delivery at each step
   - Trust-building sequence

3. Content for each stage:
   - Educational assets
   - Interactive tools
   - Case studies and proof
   - Trial/demo materials

4. Automation:
   - Behavioral email triggers
   - Scoring and segmentation
   - Sales-ready notification system
   - Nurture paths for non-advancing leads

Provide complete funnel map, content outlines, and automation rules. Target: 60%+ progression through stages.",Funnel Design,"ChatGPT, HubSpot, Lovable, Replit",Strategy,"Reduces resistance to high-commitment decisions through series of smaller commitments. Particularly effective for complex, expensive, or unfamiliar products. Increases final conversion by 40-60%.",🚀 Interactive & Immersive Elements
Creating video funnel with interactive elements,"Design a video-centric sales funnel with interactive elements:

1. Video strategy:
   - Awareness: Educational/entertaining videos (1-3 min)
   - Interest: Product demo/explainer videos (3-5 min)
   - Consideration: Case study/testimonial videos (2-4 min)
   - Decision: Personalized video messages

2. Interactive elements:
   - Clickable CTAs within videos
   - Branching video paths based on choices
   - Lead capture forms at key moments
   - Quizzes and assessments in video

3. Personalization:
   - Dynamic video content based on viewer data
   - Personalized thumbnails and titles
   - Customized video messaging
   - Automated video follow-ups

4. Technical implementation:
   - Interactive video platform selection (Wistia, Vidyard)
   - Hosting and delivery optimization
   - Analytics and engagement tracking
   - Integration with email and CRM

Provide video scripts, interactive element suggestions, and technical setup guide. Target: 2-3x engagement vs static content.",Funnel Design,"ChatGPT, Wistia, Vidyard, Loom",Design,Leverages video's high engagement rates with interactive conversion elements. Videos can increase conversion by 80%+ when interactive elements are added. Ideal for visual products and complex explanations.,🚀 Interactive & Immersive Elements
Building omnichannel funnel with consistent experience,"Design an omnichannel sales funnel with seamless experience across platforms:

1. Channel strategy:
   - Website/landing pages
   - Email marketing
   - Social media (Facebook, Instagram, LinkedIn)
   - SMS/WhatsApp
   - In-app experiences
   - Offline touchpoints

2. Consistency framework:
   - Unified messaging and brand voice
   - Design system across channels
   - Customer data synchronization
   - Cross-channel attribution

3. Customer journey mapping:
   - Entry points for each channel
   - Cross-channel progression paths
   - Handoff optimization
   - Preference management

4. Technical integration:
   - CDP (Customer Data Platform) selection
   - API integrations
   - Unified analytics
   - Marketing automation workflows

Provide channel-specific strategies, integration architecture, and customer journey maps. Target: 30%+ higher conversion for omnichannel customers.",Funnel Design,"ChatGPT, HubSpot, Salesforce, Segment",Strategy,Creates seamless experience across all customer touchpoints. Omnichannel customers typically have 30% higher lifetime value. Essential for modern marketing in multi-device world.,💎 UI/UX Excellence
Optimizing for accessibility and inclusive design,"Audit and optimize my sales funnel for accessibility and inclusion:

1. Technical accessibility:
   - WCAG 2.1 AA compliance
   - Screen reader optimization
   - Keyboard navigation
   - Color contrast requirements

2. Content accessibility:
   - Alt text for images
   - Video captions and transcripts
   - Clear and simple language
   - Semantic HTML structure

3. Form accessibility:
   - Clear labels and instructions
   - Error message clarity
   - Fieldset and legend use
   - Progressive enhancement

4. Testing and validation:
   - Automated accessibility testing tools
   - Manual testing with assistive technologies
   - User testing with disabled users
   - Ongoing monitoring and improvement

Provide accessibility audit checklist, remediation guide, and implementation code. Include legal compliance considerations (ADA, Section 508).",Funnel Optimization,"ChatGPT, Lovable, Replit, WAVE Tool",Design,"Ensures funnel is usable by people with disabilities, expanding addressable market by 15-20%. Also improves overall UX for all users. Reduces legal risk and demonstrates social responsibility.",🎨 Visual Design & Modern Aesthetics
Preventing unintended changes during iterative development,"Only make the exact changes I request—do not modify, remove, or alter any other code, styling, or page elements unless explicitly instructed.",General Best Practices,"Cursor, Windsurf, Bolt.new, Lovable, Replit",No Training Wheels,Guardrail prompt that ensures AI makes only requested changes. Use this as a constraint in all prompts to maintain control and prevent AI drift. Add this to every prompt when making specific changes.,🎯 START HERE - Pre-Session Setup
Setting code quality standards,"You are a senior [language] developer focused on clean, maintainable code. Follow these principles:
- SOLID design patterns
- DRY (Don't Repeat Yourself)
- Clear naming conventions
- Comprehensive error handling
- Write code as if it will be reviewed

Apply these to all code you generate.",General Best Practices,"Cursor, Windsurf, Replit",No Training Wheels,Role assignment prompt that sets persona and coding standards. Add to .cursorrules or global rules for consistency.,🎯 START HERE - Pre-Session Setup
